id,price,year,odometer
7311229001,14999,2015,96834
7311029270,10000,2015,97185
7310721953,12995,2015,81000
7316422163,5997,2009,120272
7306510197,11000,2018,74000
7316316146,1500,2004,295000
7316017732,6995,2013,116850
7315653630,8900,2016,97776
7315494220,6900,2008,154000
7314897620,650,2005,129834
7312780991,500,2007,17000
7311897792,500,2009,226896
7311085529,0,2007,170371
7310520176,5995,2008,124191
7307802986,9995,2012,111458
7307309827,4900,2008,1000
7303355441,0,2007,170000
7303125258,0,2010,164395
7302769175,4100,2008,154000
7311904880,0,2017,86847
7311518009,0,2019,18477
7309255408,6850,2012,171434
7316899972,12500,2015,131651
7316739509,9500,2015,134000
7315729970,10000,2013,65500
7313581739,17995,2017,48000
7308550767,6500,2010,93300
7307704732,3750,2008,168000
7306230828,20980,2017,61012
7305446590,0,2016,114169
7302677839,10995,2013,116000
7302158145,17250,2018,47000
7307698472,0,2018,131538
7307685070,0,2016,114169
7305363719,0,2015,149315
7316568765,5975,2011,149000
7316022155,6975,2014,128000
7315629109,9597,2014,145789
7315628996,9663,2016,106992
7315564377,0,2013,58572
7314925891,14998,2015,70417
7314494269,0,2017,66415
7312800860,9500,2012,114258
7312047427,4975,2010,167000
7310567199,19998,2018,90604
7308606676,8900,2012,129125
7308231058,8900,2012,114258
7308084412,8900,2012,114202
7306781814,5500,2015,126000
7306246485,7995,2014,136757
7306230084,10995,2016,103050
7305963607,6950,2012,113968
7302861397,9500,2012,114258
7315889187,7990,2012,134000
7310011393,7995,2007,102672
7309002315,8000,2012,64000
7307232013,26500,2019,1400
7304001766,9995,2011,125943
7316364225,15995,2015,75290
7316363269,14995,2015,52000
7316307166,7500,2010,149760
7316306710,6100,2009,169540
7316238697,14900,2015,104739
7316126519,0,2013,58572
7315887195,6900,2012,133000
7315626007,9597,2014,145789
7315625889,9663,2016,106992
7315617129,3450,2008,118000
7315406829,14900,2015,104379
7315330853,7500,2010,149760
7315317038,0,2017,66415
7315075330,6750,2012,116300
7315063258,0,2016,106575
7315036296,10950,2013,119207
7315036004,12450,2013,75217
7315034109,9950,2017,98588
7315033632,11950,2015,65821
7315033506,9950,2012,122691
7315033407,13950,2017,74486
7315033052,12450,2017,119264
7315030305,13750,2015,90422
7315029867,10450,2014,109242
7315029051,8950,2016,88870
7315028920,11450,2017,75526
7314477120,15995,2015,75290
7314472105,14995,2015,52000
7314369560,7700,2010,149760
7313484778,15995,2015,75290
7313468665,6200,2009,169540
7312929112,10950,2013,119207
7312928582,12450,2013,75217
7312858228,16500,2015,57020
7312445783,7900,2010,149760
7312322034,4500,2010,138805
7312315484,4500,2008,131627
7311416450,14999,2015,59747
7311100997,9995,2011,125943
7309347001,6300,2009,169540
7309345795,8250,2013,146044
7309343500,9950,2017,98588
7308935876,8950,2018,82170
7315977003,0,2016,106575
7315787878,4200,2007,160000
7313431458,0,2016,106575
7304280305,0,2016,112538
7302394843,0,2016,106575
